"incident_date","State","city_county","Address","no_killed","no_injured","moreInfo","formattedDate","casualties","GoogleAdd","dayofweek","lat","lng","accuracy"
"January 13, 2015","Illinois","Rockford","700 block of Oakley Avenue","2","2","<a href=""http://www.gunviolencearchive.org/incident/278927"" target=""_blank"">More Information</a>",2015-01-13,4,"Illinois, Rockford, 700 block of Oakley Avenue","Tues",42.2834949,-89.1151046,"street_address"
"January 13, 2015","Virginia","Portsmouth","4100 block of Portsmouth Boulevard","0","5","<a href=""http://www.gunviolencearchive.org/incident/298773"" target=""_blank"">More Information</a>",2015-01-13,5,"Virginia, Portsmouth, 4100 block of Portsmouth Boulevard","Tues",36.817872,-76.345502,"route"
"January 19, 2015","Texas","San Antonio","1000 block of Gibbs St.","2","5","<a href=""http://www.gunviolencearchive.org/incident/281039"" target=""_blank"">More Information</a>",2015-01-19,7,"Texas, San Antonio, 1000 block of Gibbs St.","Mon",29.4214917,-98.4608209,"street_address"
"January 20, 2015","Tennessee","Clarksville","321 Lansinger Lane","1","3","<a href=""http://www.gunviolencearchive.org/incident/281663"" target=""_blank"">More Information</a>",2015-01-20,4,"Tennessee, Clarksville, 321 Lansinger Lane","Tues",36.6135699,-87.4190854,"street_address"
"January 23, 2015","Massachusetts","Boston","954 Parker Street","0","6","<a href=""http://www.gunviolencearchive.org/incident/283115"" target=""_blank"">More Information</a>",2015-01-23,6,"Massachusetts, Boston, 954 Parker Street","Fri",42.3243896,-71.1009956,"street_address"
"January 24, 2015","New York","Arverne (Queens)","231-11 148th Avenue","4","1","<a href=""http://www.gunviolencearchive.org/incident/282956"" target=""_blank"">More Information</a>",2015-01-24,5,"New York, Arverne (Queens), 231-11 148th Avenue","Sat",40.5884016,-73.7924831,"establishment"
"January 24, 2015","Nebraska","Omaha","3402 Parker St","3","5","<a href=""http://www.gunviolencearchive.org/incident/283041"" target=""_blank"">More Information</a>",2015-01-24,8,"Nebraska, Omaha, 3402 Parker St","Sat",41.2766768,-95.9632364,"street_address"
"January 26, 2015","California","Stockton","1500 block of E. 9th Street","1","3","<a href=""http://www.gunviolencearchive.org/incident/285123"" target=""_blank"">More Information</a>",2015-01-26,4,"California, Stockton, 1500 block of E. 9th Street","Mon",37.9307095,-121.2654104,"street_address"
"January 28, 2015","Georgia","Dekalb County","1600 block of Panola Road","1","3","<a href=""http://www.gunviolencearchive.org/incident/285549"" target=""_blank"">More Information</a>",2015-01-28,4,"Georgia, Dekalb County, 1600 block of Panola Road","Wed",33.7446548,-84.1652093,"street_address"
"January 31, 2015","Georgia","Lagrange","100 block of Woodstream Trail","4","0","<a href=""http://www.gunviolencearchive.org/incident/286810"" target=""_blank"">More Information</a>",2015-01-31,4,"Georgia, Lagrange, 100 block of Woodstream Trail","Sat",32.9781716,-85.1441441,"street_address"
